yourself;online;tutor
0;0;0;user
0;0;0;user
0;0;0;user
0;0;0;user
0;0;0;user
0;1;0;user
0;1;0;user
0;1;0;user
0;1;0;user
0;1;0;user
0;1;0;user
0;1;1;user
0;1;1;user
0;1;1;user
1;0;0;user
1;1;0;db
1;1;0;user
1;1;0;user
1;1;0;user
1;1;0;user
1;1;1;user
1;1;1;user
1;1;1;user
1;1;1;user
1;1;1;user
1;1;1;user
1;1;1;user
